Island start	Island end	Length	Method	Gene name	Gene ID	Locus	Gene start	Gene end	Strand	Product	External Annotations
104963	130451	25488	Predicted by at least one method			PBONN_00097	104963	105778	-1	methylase	
104963	130451	25488	Predicted by at least one method			PBONN_00098	105837	106337	1	hypothetical protein	
104963	130451	25488	Predicted by at least one method			PBONN_00099	106469	107056	1	phosphosugar isomerase	
104963	130451	25488	Predicted by at least one method			PBONN_00100	107077	107877	1	lipoprotein	
104963	130451	25488	Predicted by at least one method			PBONN_00101	107894	108247	1	hypothetical protein	
104963	130451	25488	Predicted by at least one method			PBONN_00103	108524	108784	1	hypothetical protein	
104963	130451	25488	Predicted by at least one method			PBONN_00104	108708	109544	-1	insertion element protein	
104963	130451	25488	Predicted by at least one method			PBONN_00105	109541	109807	-1	transposase	
104963	130451	25488	Predicted by at least one method			PBONN_00106	109947	110231	-1	hypothetical protein	
104963	130451	25488	Predicted by at least one method			PBONN_00107	110289	110723	-1	hypothetical protein	
104963	130451	25488	Predicted by at least one method		tssD-1	PBONN_00108	110808	111293	-1	type VI secretion system protein TssD-1	
104963	130451	25488	Predicted by at least one method		tagL-2	PBONN_00109	111327	113054	-1	type VI secretion system-associated protein TagL-2	
104963	130451	25488	Predicted by at least one method			PBONN_00110	113066	113749	-1	hypothetical protein	
104963	130451	25488	Predicted by at least one method		tssK-1	PBONN_00111	113746	115092	-1	type VI secretion system protein TssK-1	
104963	130451	25488	Predicted by at least one method		tssC-5_1	PBONN_00112	115201	116766	-1	type VI secretion system protein TssC-5	
104963	130451	25488	Predicted by at least one method		tssB-5_1	PBONN_00113	116792	117298	-1	type VI secretion system protein TssB-5	
104963	130451	25488	Predicted by at least one method			PBONN_00114	117551	119962	1	hypothetical protein	
104963	130451	25488	Predicted by at least one method			PBONN_00115	119970	120842	1	hypothetical protein	
104963	130451	25488	Predicted by at least one method			PBONN_00116	120839	121321	1	hypothetical protein	
104963	130451	25488	Predicted by at least one method			PBONN_00117	121348	121830	1	hypothetical protein	
104963	130451	25488	Predicted by at least one method			PBONN_00118	121843	123756	1	hypothetical protein	
104963	130451	25488	Predicted by at least one method			PBONN_00119	123932	125164	1	hypothetical protein	
104963	130451	25488	Predicted by at least one method			PBONN_00120	125161	128760	1	hypothetical protein	
104963	130451	25488	Predicted by at least one method			PBONN_00121	128838	130451	1	hypothetical protein	
400104	404585	4481	Predicted by at least one method			PBONN_00342	400104	400541	1	flagella synthesis protein	
400104	404585	4481	Predicted by at least one method		tolB_1	PBONN_00343	400726	401865	1	Tol-Pal system protein TolB	
400104	404585	4481	Predicted by at least one method			PBONN_00344	401920	402456	1	hypothetical protein	
400104	404585	4481	Predicted by at least one method			PBONN_00345	402497	403171	1	hypothetical protein	
400104	404585	4481	Predicted by at least one method			PBONN_00346	403219	403953	1	hypothetical protein	
400104	404585	4481	Predicted by at least one method			PBONN_00347	404176	404424	1	hypothetical protein	
400104	404585	4481	Predicted by at least one method			PBONN_00348	404460	404585	1	hypothetical protein	
846285	851655	5370	Predicted by at least one method			PBONN_00760	846285	847277	-1	hypothetical protein	
846285	851655	5370	Predicted by at least one method			PBONN_00761	847469	848401	-1	hypothetical protein	
846285	851655	5370	Predicted by at least one method			PBONN_00762	848732	849946	-1	hypothetical protein	
846285	851655	5370	Predicted by at least one method			PBONN_00763	850199	851401	-1	hypothetical protein	
846285	851655	5370	Predicted by at least one method			PBONN_00764	851425	851655	1	hypothetical protein	
891602	896691	5089	Predicted by at least one method			PBONN_00794	891602	892408	1	hypothetical protein	
891602	896691	5089	Predicted by at least one method			PBONN_00795	892356	892604	1	hypothetical protein	
891602	896691	5089	Predicted by at least one method			PBONN_00796	892822	894549	1	hypothetical protein	
891602	896691	5089	Predicted by at least one method			PBONN_00797	894899	896137	1	hypothetical protein	
891602	896691	5089	Predicted by at least one method			PBONN_00798	896551	896691	1	hypothetical protein	
931143	946611	15468	Predicted by at least one method			PBONN_00836	931143	934481	1	hypothetical protein	
931143	946611	15468	Predicted by at least one method			PBONN_00837	935204	938533	1	hypothetical protein	
